key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
productStockByWarehouse,Product detail,Stav na skladech,Stock by warehouse,Стан на складах,,,
productWarehouseMapHint,Product detail,Zobrazit na mapě,Show on map,Показати на карті,,,
productWarehouseOpenMap,Product detail,Otevřít adresu skladu na mapě,Open warehouse address on map,Відкрити адресу складу на карті,,,
productsCatalogEmpty,Products (home),Žádné produkty v katalogu.,No products in the catalog.,Немає продуктів у каталозі.,,,
productsCatalogInStock,Products (home),Skladem,In stock,В наявності,,,
productsCatalogOutOfStock,Products (home),Není skladem,Out of stock,Немає в наявності,,,
productsCatalogOutOfStockBadge,Products (home),NENÍ SKLADEM,OUT OF STOCK,НЕМАЄ В НАЯВНОСТІ,,,
productsGiftsEmpty,Products (home),V katalogu dárků zatím nic není.,No gift items in the catalog.,У каталозі подарунків поки нічого немає.,,,
productsGiftsTitle,Products (home),Dárky,Gifts,Подарунки,,,
productsMyPurchased,Products (home),Moje zakoupené produkty,My purchased products,Мої куплені продукти,,,
productsNoPurchased,Products (home),Žádné zakoupené produkty.,No purchased products.,Немає куплених продуктів.,,,
productsPromoSubtitle,Products (home),Vybrané přípravky a styling pro váš účes.,Selected styling and care products for your look.,Відібрані засоби та стайлінг для вашої зачіски.,,,
productsPromoSubtitle2,Products (home),Nejnovější přípravky a limited edice.,Latest products and limited editions.,Найновіші засоби та limited edition.,,,
productsPromoSubtitle3,Products (home),Aktuální slevy na vybrané produkty.,Current discounts on selected products.,Актуальні знижки на вибрані продукти.,,,
productsPromoSubtitle4,Products (home),Kombinované sady produktů s výhodnou cenou.,Product bundles at a better price.,Комбіновані набори продуктів за вигідною ціною.,,,
productsPromoSubtitle5,Products (home),Produkty doporučené pro vás na základě nákupů.,Products recommended for you based on your purchases.,"Продукти, рекомендовані вам на основі покупок.",,,
productsPromoTitle,Products (home),Doporučené produkty,Recommended products,Рекомендовані продукти,,,
productsPromoTitle2,Products (home),Novinky,New arrivals,Новини,,,
productsPromoTitle3,Products (home),Slevy,Deals,Знижки,,,
productsPromoTitle4,Products (home),Dárkové sady,Gift sets,Подарункові набори,,,
productsPromoTitle5,Products (home),Doporučené,Recommended,Рекомендоване,,,
productsTitle,Products (home),Produkty,Products,Продукти,,,
profileAccountSettings,Profile,Nastavení účtu,Account settings,Налаштування акаунта,,,
profileAppLanguage,Profile,Jazyk aplikace,App language,Мова застосунку,,,
profileAppVersionLabel,Profile,Verze aplikace,App version,Версія застосунку,,,
profileAppearanceDarkMode,Profile,Tmavý režim,Dark mode,Темний режим,,,
profileAppearanceLightMode,Profile,Světlý režim,Light mode,Світлий режим,,,
profileCompletionAddressTitle,Profile,Adresa,Address,Адреса,,,
profileCompletionAvatarTitle,Profile,Profilová fotka,Profile photo,Фото з профілю,,,
profileCompletionBirthdayTitle,Profile,Datum narození,Date of birth,Дата народження,,,
profileCompletionCta,Profile,Doplnit,Complete,Доповнити,,,
profileCompletionDismiss,Profile,Teď ne,Not now,Не зараз,,,
profileCompletionEmailTitle,Profile,E-mail,Email,E-mail,,,
profileContactFormEmail,Profile,E-mail,Email,E-mail,,,
profileContactFormHint,Profile,Formulář brzy spustíme — zatím bez odeslání.,We will launch the form soon — sending is not available yet.,Форму скоро запустимо — поки без відправлення.,,,
profileContactFormMessage,Profile,Zpráva,Message,Повідомлення,,,
profileContactFormName,Profile,Jméno,Name,Ім'я,,,
profileContactFormSubmit,Profile,Odeslat,Send,Надіслати,,,
profileContactFormTitle,Profile,Kontaktní formulář,Contact form,Контактна форма,,,
profileContactsForm,Profile,Kontaktní formulář,Contact form,Контактна форма,,,
profileContactsLocations,Profile,Provozovny,Locations,Філії,,,
profileContactsPhone,Profile,Telefonický kontakt,Phone contact,Телефонний контакт,,,
profileContactsPrivacy,Profile,Ochrana údajů a podmínky,Privacy policy and terms,Захист даних і умови,,,
profileContactsSectionTitle,Profile,Kontakty,Contacts,Контакти,,,
profileContactsShare,Profile,Sdílet realbarber.cz,Share realbarber.cz,Поділитися realbarber.cz,,,
profileCreateListing,Profile,Vytvořit nový inzerát,Create new listing,Створити нове оголошення,,,
profileCustomerStatus,Profile,Status zákazníka,Customer status,Статус клієнта,,,
profileEarnings,Profile,Výdělky,Earnings,Заробіток,,,
profileEditProfile,Profile,Upravit profil,Edit profile,Редагувати профіль,,,
profileFeatureHaptics,Profile,Haptická odezva,Haptic feedback,Тактильний відгук,,,
profileFeatureHapticsDesc,Profile,Vibrace při klepnutí na tlačítka a přepínání,Vibration when tapping buttons and toggles,Вібрація при натисканні кнопок і перемикачів,,,
profileFeatureOperator,Profile,Operátor podpory,Support operator,Оператор підтримки,,,
profileFeatureOperatorDesc,Profile,Zobrazit plovoucí tlačítko pro rychlý kontakt s podporou,Show the floating button for quick contact with support,Показати плаваючу кнопку для швидкого контакту з підтримкою,,,
profileFeatureSettings,Profile,Nastavení funkcí,Feature settings,Налаштування функцій,,,
profileFeatureSettingsDesc,Profile,Operátor podpory a další volitelné funkce,Support operator and other optional features,Оператор підтримки та інші додаткові функції,,,
profileFeatureSettingsSubtitle,Profile,Volitelné funkce aplikace,Optional app features,Додаткові функції додатку,,,
profileGetHelp,Profile,Nápověda,Get help,Допомога,,,
profileGetStarted,Profile,Začít,Get started,Почати,,,
profileGuest,Profile,Host,Guest,Гість,,,
profileInsights,Profile,Přehledy,Insights,Огляди,,,
profileLogout,Profile,Odhlásit se,Logout,Вийти,,,
profileMemberDays,Profile,Členem (dní),Member for (days),Учасник (днів),,,
profileMemberDaysFirstDay,Profile,První den,First day,Перший день,,,
profileMenuAria,Service / Barber detail,Další akce,More actions,Інші дії,,,
profileMyReservations,Profile,Moje rezervace,My reservations,Мої бронювання,,,
profileNewToHosting,Profile,Nový v hostování?,New to hosting?,Новачок у хостингу?,,,
profileNewToHostingDesc,Profile,"""Zjistěte, jak začít hostit a vydělat si navíc""",Discover how to start hosting and earn extra income,"""Дізнайтеся, як почати хостити й додатково заробляти""",,,
profileNotificationHistory,Profile,Historie notifikací,Notification history,Історія сповіщень,,,
profileReferrals,Profile,Doporučení,Referrals,Рекомендації,,,
profileReservations,Profile,Rezervace,Reservations,Бронювання,,,
profileReviews,Profile,Recenze,Reviews,Відгук,,,
rbcBack,RBC,Zpět,Back,Назад,,,
rbcCardDesign,RBC,Design karty,Card design,Дизайн картки,,,
rbcCardDesigns,RBC,Designy karet,Card designs,Дизайни карток,,,
rbcCardTitle,RBC,RBC karta,RBC Card,Картка RBC,,,
rbcCashback,RBC,Cashback,Cashback,Кешбек,,,
rbcDayBeforeYesterday,RBC,Předevčírem,Day before yesterday,Позавчора,,,
rbcDesign,RBC,Design,Design,Дизайн,,,
rbcGiftCardCreated,RBC,Dárková karta vytvořena,Gift card created,Подарункову картку створено,,,
rbcHideDetails,RBC,Skrýt údaje,Hide details,Сховати дані,,,
rbcHistory,RBC,Historie,History,Історія,,,
rbcNoTransactions,RBC,Žádné transakce,No transactions,Немає транзакцій,,,
rbcSend,RBC,Odeslat,Send,Надіслати,,,
rbcShowDetails,RBC,Zobrazit údaje,Show details,Показати дані,,,
rbcToday,RBC,Dnes,Today,сьогодні,,,
rbcTransactionHistory,RBC,Historie transakcí,Transaction history,Історія транзакцій,,,
rbcUseThisDesign,RBC,Použít tento design,Use this design,Використати цей дизайн,,,
rbcYesterday,RBC,Včera,Yesterday,Вчора,,,
rbcYourBalance,RBC,Váš zůstatek,Your balance,Ваш баланс,,,
referralAttributionLead,Referral program detail,Lead,Lead,Лід,,,
referralAttributionNotFound,Referral program detail,Pozvánku se nepodařilo najít.,Invite not found.,Запрошення не знайдено.,,,
referralAttributionPhone,Referral program detail,Telefon,Phone,Телефон,,,
referralAttributionStatus,Referral program detail,Stav,Status,Статус,,,
referralAttributionTimeline,Referral program detail,Průběh,Timeline,Хід,,,
referralAttributionTitle,Referral program detail,Pozvánka,Invite,Запрошення,,,
referralChecklistAccepted,Referral program detail,Přijal pozvání,Accepted invite,Прийняв запрошення,,,
referralChecklistPaid,Referral program detail,Zaplatil za služby,Paid for services,Оплатив послуги,,,
referralChecklistPaired,Referral program detail,Stáhl aplikaci,Installed the app,Завантажив застосунок,,,
referralInviteDetailTitle,Referral program detail,Detail pozvání,Invite detail,Деталі запрошення,,,
referralInviteHeadlineLimitReached,Referral program detail,"""Splněno, ale limit programu je vyčerpaný""","""Completed, but program limit reached""","""Виконано, але ліміт програми вичерпано""",,,
referralInviteHeadlinePending,Referral program detail,Pozvánka je v procesu,Invite is in progress,Запрошення в процесі,,,
referralInviteHeadlineQualified,Referral program detail,"""Splněno, čeká se na odměnu""","""Qualified, waiting for reward""","""Виконано, очікується винагорода""",,,
referralInviteHeadlineRewarded,Referral program detail,"""Hotovo, odměna připsána""","""Completed, reward credited""","""Готово, винагороду нараховано""",,,
referralInviteInvitedOn,Referral program detail,Pozváno:,Invited:,Запрошено:,,,
referralInviteLeadPhoneEntered,Referral program detail,Zadal telefon na odkazu,Phone entered on the link,Ввів телефон за посиланням,,,
referralInviteName,Referral program detail,Jméno,Name,Ім'я,,,
referralInviteNextStep,Referral program detail,Další krok,Next step,Наступний крок,,,
referralInviteNotFound,Referral program detail,Pozvání se nepodařilo najít.,Invite not found.,Запрошення не знайдено.,,,
referralInvitePercentage,Referral program detail,Hotovo,Done,Готово,,,
referralInvitePerson,Referral program detail,Pozvaný,Invitee,Запрошений,,,
referralInviteProgress,Referral program detail,Průběh,Progress,Прогрес,,,
referralInviteStatus,Referral program detail,Stav,Status,Статус,,,
referralInviteStatusInProgress,Referral program detail,V procesu,In progress,Триває,,,
referralInviteStatusPending,Referral program detail,V procesu,In progress,Триває,,,
referralInviteStatusQualified,Referral program detail,Splněno,Qualified,Виконано,,,
referralInviteStatusRewarded,Referral program detail,Odměna připsána,Rewarded,Винагороду нараховано,,,
referralInviteSteps,Referral program detail,Kroky,Steps,Кроки,,,
referralInviteTimeline,Referral program detail,Průběh pozvání,Invite timeline,Хід запрошення,,,
referralInvitesEmpty,Referral program detail,Zatím nemáte žádné pozvánky v tomto programu.,You have no invites in this program yet.,Поки немає запрошень у цій програмі.,,,
referralInvitesSection,Referral program detail,Pozvaní,Invited,Запрошені,,,
referralInvitesTitle,Referral program detail,Průběh pozvání,Invite progress,Хід запрошень,,,
referralProgramDetails,Referral program detail,Detail programu,Program details,Деталі програми,,,
referralProgramJoin,Referral program detail,Zapojit do programu,Join program,Приєднатися до програми,,,
referralProgramMinPurchase,Referral program detail,Minimální nákup,Minimum purchase,Мінімальна покупка,,,
referralProgramNotFound,Referral program detail,Program se nepodařilo najít.,Program not found.,Програму не знайдено.,,,
referralProgramRefereeReward,Referral program detail,Odměna pro doporučeného,Reward for referred friend,Винагорода для запрошеного,,,
referralProgramReferrerReward,Referral program detail,Odměna za doporučení,Reward for referring,Винагорода за рекомендацію,,,
referralProgramRegenerate,Referral program detail,Vygenerovat nový kód,Generate a new code,Згенерувати новий код,,,
referralProgramTitle,Referral program detail,Doporučovací program,Referral program,Реферальна програма,,,
referralProgramTrackInvites,Referral program detail,Průběh pozvání,Invite progress,Хід запрошень,,,
referralProgramValidUntil,Referral program detail,Platné do,Valid until,Дійсне до,,,
referralProgramYourCode,Referral program detail,Váš referral kód,Your referral code,Ваш реферальний код,,,
referralRewardAmount,Referral program detail,Odměna,Reward,Винагорода,,,
referralRewardStatusLine,Referral program detail,Stav: {status},Status: {status},Статус: {status},,,
referralRewardedAt,Referral program detail,Připsáno,Credited at,Нараховано,,,
referralSpendLine,Referral program detail,Aktuálně utraceno {spent} z {required} (zbývá {remaining}),Spent {spent} of {required} (remaining {remaining}),Зараз витрачено {spent} з {required} (залишилось {remaining}),,,
referralSpendSince,Referral program detail,Počítá se od,Counting since,Рахується з,,,
referralStepPairedInApp,Referral program detail,Spárováno v aplikaci (přihlášení/registrace),Paired in the app (login/registration),Зв’язано в застосунку (вхід/реєстрація),,,
referralStepPhoneEntered,Referral program detail,Zadal telefon na odkazu,Phone entered on the link,Ввів телефон за посиланням,,,
referralStepReward,Referral program detail,Odměna,Reward,Винагорода,,,
referralStepSpendProgress,Referral program detail,Plnění podmínky nákupu,Purchase progress,Виконання умови покупки,,,
referralsFriends,Referrals,přátel,friends,друзів,,,
referralsInviteFriends,Referrals,Pozvat přátele,Invite friends,Запросити друзів,,,
referralsInvited,Referrals,Pozvali jste,You've invited,Ви запросили,,,
referralsInvitedList,Referrals,Pozvaní,Invited,Запрошені,,,
referralsShareLink,Referrals,Sdílet odkaz na pozvánku,Share invite link,Поділитися посиланням на запрошення,,,
rescheduleConfirm,Trip detail,Potvrdit přesunutí okamžitě,Confirm reschedule now,Підтвердити перенесення зараз,,,
rescheduleContinue,Trip detail,Pokračovat na shrnutí,Continue to summary,Продовжити до підсумку,,,
rescheduleCurrentTimeHeading,Trip detail,Současný termín,Current time slot,Поточний час,,,
rescheduleCurrentTitle,Trip detail,Současná rezervace,Current booking,Поточне бронювання,,,
rescheduleIntro,Trip detail,"""Zvolte nový datum a čas. Pobočka, služba i holič se nemění.""","""Pick a new date and time. The branch, service, and barber stay the same.""","""Оберіть нову дату й час. Філія, послуга й барбер не змінюються.""",,,
rescheduleLoadError,Trip detail,Nepodařilo se načíst rezervaci,Could not load booking,Не вдалося завантажити бронювання,,,
rescheduleNoChange,Trip detail,Nejdřív změňte datum nebo čas.,Change the date or time first.,Спочатку змініть дату або час.,,,
rescheduleNoSlot,Trip detail,Vyberte časový slot,Select a time slot,Оберіть часовий слот,,,
rescheduleNotFound,Trip detail,Rezervace nenalezena,Booking not found,Бронювання не знайдено,,,
reschedulePickTitle,Trip detail,Nový termín,New date & time,Новий термін,,,
reschedulePlaceholder,Trip detail,Výběr nového termínu bude brzy k dispozici.,Choosing a new date and time will be available soon.,Вибір нового терміну незабаром буде доступний.,,,
rescheduleSave,Trip detail,Uložit nový termín,Save new time,Зберегти новий термін,,,
rescheduleSaving,Trip detail,Ukládám…,Saving…,Збереження…,,,
rescheduleSummarySubtitle,Trip detail,Zkontrolujte nový termín a potvrďte změnu.,Review the new time and confirm the update.,Перевірте новий термін і підтвердіть зміну.,,,
rescheduleSummaryTitle,Trip detail,Shrnutí přesunutí rezervace,Reschedule summary,Підсумок перенесення,,,
rescheduleTitle,Trip detail,Přesunout rezervaci,Reschedule,Перенести бронювання,,,
reservationAfternoon,Reservation create flow,Odpoledne,Afternoon,Післяобідній час,,,
reservationAnyEmployee,Reservation create flow,Kdokoliv je k dispozici,Anyone available,Будь-хто доступний,,,
reservationAvailableTimes,Reservation create flow,Dostupné časy,Available times,Доступний час,,,
reservationAvailableTimesSubtitle,Reservation create flow,Vyberte volný čas z dostupných termínů.,Pick a free slot from the available appointments.,Оберіть вільний час із доступних термінів.,,,
reservationContactEmail,Reservation create flow,E-mail,Email,E-mail,,,
reservationContactFirstName,Reservation create flow,Jméno,First name,Ім'я,,,
reservationContactLastName,Reservation create flow,Příjmení,Last name,Прізвище,,,
reservationContactMarketing,Reservation create flow,Souhlasím s marketingovou komunikací,I agree to marketing communications,Погоджуюсь на маркетингові повідомлення,,,
reservationContactNotes,Reservation create flow,Poznámka,Notes,Примітка,,,
reservationContactOtpLabel,Reservation create flow,Kód z SMS,SMS code,Код з SMS,,,
reservationContactPhone,Reservation create flow,Telefon,Phone,Телефон,,,
reservationContactSubmit,Reservation create flow,Potvrdit rezervaci,Confirm booking,Підтвердити бронювання,,,
reservationCouponDiscount,Reservation create flow,Sleva,Discount,Знижка,,,
reservationCouponEmpty,Reservation create flow,Zadejte slevový kód.,Enter a promo code.,Введіть промокод.,,,
reservationCouponFinalPrice,Reservation create flow,Celkem,You pay,Разом,,,
reservationCouponIncompleteSelection,Reservation create flow,"""Nejdřív vyberte pobočku, službu a mistra.""","""Choose branch, service and barber first.""","""Спочатку оберіть філію, послугу й барбера.""",,,
reservationCouponOriginalPrice,Reservation create flow,Základní cena,Original price,Базова ціна,,,
reservationCouponPlaceholder,Reservation create flow,KÓD10,SAVE10,КОД10,,,
reservationCouponSectionTitle,Reservation create flow,Slevový kód,Promo code,Знижковий код,,,
reservationCouponVerify,Reservation create flow,Ověřit,Verify,Перевірити,,,
reservationCouponVerifyFailed,Reservation create flow,Kód se nepodařilo ověřit.,Could not verify the code.,Не вдалося перевірити код.,,,
reservationCreating,Reservation create flow,Vytvářím rezervaci…,Creating booking…,Створюємо бронювання…,,,
reservationCurrencySuffix,Reservation create flow,Kč,CZK,Kč,,,
reservationDayAfterTomorrow,Reservation create flow,Pozítří,Day after tomorrow,післязавтра,,,
reservationEmployeeNearestFreeSlotLabel,Reservation create flow,Nejbližší volný termín,Next free slot,Найближчий вільний термін,,,
reservationEmployeeNearestLoading,Reservation create flow,…,…,…,,,
reservationEmployeeNoNearestSlot,Reservation create flow,Bez volného termínu,No free slot,Без вільного терміну,,,
reservationErrorEmail,Reservation create flow,Vyplňte e-mail.,Enter your email.,Введіть e-mail.,,,
reservationErrorEmailInvalid,Reservation create flow,Zadejte platný e-mail.,Enter a valid email.,Введіть коректний email.,,,
reservationErrorFirstName,Reservation create flow,Vyplňte jméno.,Enter your first name.,Введіть ім’я.,,,
reservationErrorGeneric,Reservation create flow,Rezervaci se nepodařilo vytvořit. Zkuste to znovu.,Could not create the booking. Please try again.,Не вдалося створити бронювання. Спробуйте ще раз.,,,
reservationErrorLastName,Reservation create flow,Vyplňte příjmení.,Enter your last name.,Введіть прізвище.,,,
reservationErrorPhone,Reservation create flow,Vyplňte telefon.,Enter your phone number.,Вкажіть телефон.,,,
reservationErrorRateLimit,Reservation create flow,Příliš mnoho pokusů. Zkuste to později.,Too many attempts. Please try again later.,Забагато спроб. Спробуйте пізніше.,,,
reservationErrorSlotTaken,Reservation create flow,Termín mezitím obsadil někdo jiný. Vyberte jiný čas.,This slot was just taken. Please choose another time.,Цей термін уже зайняли. Оберіть інший час.,,,
reservationEvening,Reservation create flow,Večer,Evening,Вечір,,,
reservationMore,Reservation create flow,Více,More,Більше,,,
reservationMorning,Reservation create flow,Ráno,Morning,Ранок,,,
reservationNearestSlotAt,Reservation create flow,v,at,у філії,,,
reservationNoBarbers,Reservation create flow,Pro pobočku nejsou dostupní žádní barbeři.,No barbers are available for this branch.,Для цієї філії немає доступних барберів.,,,
reservationNoServices,Reservation create flow,Pro vybraného barbera nejsou dostupné žádné služby.,No services are available for this barber.,Для обраного барбера немає доступних послуг.,,,
reservationNoSlotsMonth,Reservation create flow,V tomto měsíci nejsou žádné volné termíny.,No available slots this month.,У цьому місяці немає вільних термінів.,,,
reservationNoSlotsSelection,Reservation create flow,Pro vybrané parametry nejsou dostupné žádné termíny.,No time slots are available for the selected options.,Для вибраних параметрів немає доступних термінів.,,,
reservationPriceFromPrefix,Reservation create flow,od,from,від,,,
reservationShowMap,Reservation create flow,Zobrazit mapu,View map,Показати на карті,,,
reservationSlotHandoffTitle,Reservation create flow,Vyberte službu,Choose a service,Оберіть послугу,,,
reservationStartCta,Reservation create flow,Jdeme na to,Let's go,Поїхали,,,
reservationStartStep1Desc,Reservation create flow,"""Zvolte salon, kam chcete jít.""",Pick the salon you want to visit.,"""Оберіть салон, куди хочете піти.""",,,
reservationStartStep1Title,Reservation create flow,Vyberte pobočku,Choose a branch,Оберіть відділення,,,
reservationStartStep2Desc,Reservation create flow,,Pick the service you want and the specialist who will provide it.,"Оберіть послугу та спеціаліста, який її надасть.",,,
reservationStartStep2Title,Reservation create flow,Vyberte službu a holiče,Choose a service and barber,Оберіть послугу та барбера,,,
reservationStartStep3Desc,Reservation create flow,Zobrazíme dostupné časy a potvrdíte rezervaci.,We'll show available slots and you'll confirm the booking.,"Покажемо доступні часи, і ви підтвердите бронювання.",,,
reservationStartStep3Title,Reservation create flow,Vyberte termín,Choose a time,Оберіть термін,,,
reservationStartTitle,Reservation create flow,Jednoduše vytvoříme rezervaci,We'll book you in easily,Легко створимо бронювання,,,
reservationStepBranchSubtitle,Reservation create flow,"""Vyberte pobočku, kde chcete rezervaci.""",Select the branch where you want to book.,"""Оберіть філію, де хочете бронювання.""",,,
reservationStepBranchTitle,Reservation create flow,Vyberte pobočku,Choose a branch,Оберіть відділення,,,
reservationStepDatetimeSubtitle,Reservation create flow,Vyberte den a následně dostupný termín.,"""Pick a day, then an available time slot.""","Оберіть день, а потім доступний термін.",,,
reservationStepDatetimeTitle,Reservation create flow,Vyberte datum a čas,Choose date and time,Оберіть дату й час,,,
reservationStepEmployeeSubtitle,Reservation create flow,"""Vyberte holiče, ke kterému chcete vytvořit rezervaci.""",Select the barber you want to book with.,"""Оберіть барбера, до якого хочете створити бронювання.""",,,
reservationStepEmployeeTitle,Reservation create flow,Vyberte holiče,Choose your barber,Оберіть барбера,,,
reservationStepServiceSubtitle,Reservation create flow,"""Vyberte službu, kterou chcete rezervovat.""",Select the service you want to book.,"""Оберіть послугу, яку хочете забронювати.""",,,
reservationStepServiceTitle,Reservation create flow,Vyberte službu,Choose a service,Оберіть послугу,,,
reservationSummaryAppointment,Reservation create flow,Váš termín,Your appointment,Ваш термін,,,
reservationSummaryBranch,Reservation create flow,Pobočka,Branch,Філія,,,
reservationSummaryCreating,Reservation create flow,Vytvářím rezervaci…,Creating booking…,Створюємо бронювання…,,,
reservationSummaryEstimatedDuration,Reservation create flow,Odhadovaná délka,Estimated duration,Орієнтовна тривалість,,,
reservationSummaryFrom,Reservation create flow,Od,From,від,,,
reservationSummarySubtitle,Reservation create flow,Zkontrolujte údaje před potvrzením.,Review your details before confirming.,Перевірте дані перед підтвердженням.,,,
reservationSummaryTitle,Reservation create flow,Shrnutí objednávky,Order summary,Підсумок бронювання,,,
reservationSummaryTo,Reservation create flow,Do,To,До,,,
reservationSummaryWithSpecialist,Reservation create flow,U vašeho specialisty,With your barber,У вашого спеціаліста,,,
reservationToday,Reservation create flow,Dnes,Today,сьогодні,,,
reservationTomorrow,Reservation create flow,Zítra,Tomorrow,завтра,,,
reservationsCancelled,Reservations,Zrušené,Cancelled,Скасовано,,,
reservationsPast,Reservations,Minulé,Past,Минулі,,,
reservationsTitle,Reservations,Rezervace,Reservations,Бронювання,,,
reservationsUpcoming,Reservations,Nadcházející,Upcoming,Найближча,,,
reservationsViewBooking,Reservations,Zobrazit rezervaci,View booking,Переглянути бронювання,,,
reviewAnonymous,Review,Anonymní recenze,Anonymous review,Анонімний відгук,,,
reviewAnonymousDesc,Review,Vaše jméno a profil se u této recenze nezobrazí.,Your name and profile will not be shown with this review.,Ваше ім’я та профіль не буде показано з цим відгуком.,,,
reviewDelete,Review,Smazat recenzi,Delete review,Видалити відгук,,,
reviewDeleteConfirmMessage,Review,Opravdu chcete smazat tuto recenzi?,Do you really want to delete this review?,Справді видалити цей відгук?,,,
reviewDeleteConfirmTitle,Review,Smazat recenzi,Delete review,Видалити відгук,,,
reviewDeleting,Review,Mažu…,Deleting…,Видаляю…,,,
reviewReservationTitle,Review,Recenzujete rezervaci,Reviewing booking,Ви оцінюєте бронювання,,,
reviewSubmit,Review,Odeslat recenzi,Submit Review,Надіслати відгук,,,
reviewUpdate,Review,Upravit recenzi,Update review,Редагувати відгук,,,
reviewWriteFallback,Review,Napsat recenzi,Write a Review,Написати відгук,,,
reviewWriteTo,Review,Napsat recenzi pro,Write review to,Написати відгук для,,,
reviewWriteYourReview,Review,Napište svou recenzi,Write your review,Напишіть свій відгук,,,
scheduleAll,Experience,Vše,All,Усе,,,
scheduleDate,Experience,Datum,Date,Дата,,,
scheduleEmpty,Experience,Na tento den nemáme nikoho ve směně.,No barbers are scheduled for this day.,На цей день ніхто не на зміні.,,,
scheduleEmptyBranch,Experience,Na tento den není ve směně nikdo v této pobočce.,No barbers are scheduled at this branch on this day.,На цей день у цій філії ніхто не на зміні.,,,
scheduleProfil,Experience,Profil,Profile,Профіль,,,
scheduleRezervovat,Experience,Rezervovat,Book,Забронювати,,,
scheduleTermsWhen,Real Barber home screen,Termíny {when},Slots {when},Терміни {when},,,
scheduleTitle,Experience,Rozvrh,Schedule,Розклад,,,
searchBarbers,Search,Tým,Team,Команда,,,
searchBarbersSubtitle,Search,Prohlédnout barbery a jejich profily,Browse barbers and their profiles,Переглянути барберів і їхні профілі,,,
searchBranches,Search,Pobočky,Branches,Філії,,,
searchBranchesSubtitle,Search,Prohlédnout pobočky,Browse branches,Переглянути філії,,,
searchFavorites,Search,Oblíbené,Favorites,Улюблені,,,
searchFavoritesSubtitle,Search,Uložené pobočky a barbeři,Saved branches and barbers,Збережені філії та барбери,,,
searchMyBookings,Search,Mé rezervace,My bookings,Мої бронювання,,,
searchMyBookingsSubtitle,Search,Vaše rezervace a návštěvy,Your bookings and visits,Ваші бронювання та візити,,,
searchPlaceholder,Search,Hledat,Search here,Шукати,,,
searchSchedule,Search,Rozvrh,Schedule,Розклад,,,
searchScheduleSubtitle,Search,Rezervovat termín,Book an appointment,Забронювати термін,,,
searchServices,Search,Služby,Services,Послуги,,,
searchServicesSubtitle,Search,Služby a ceník,Services and pricing,Послуги та прайс,,,
serviceAbout,Service detail,O službě,About the service,Про послугу,,,
serviceBookThisService,Service / Barber detail,Rezervovat službu,Book this service,Забронювати послугу,,,
serviceCategoryOther,Reservation create flow,Ostatní,Other,Інше,,,
serviceChooseBranchBarber,Service / Barber detail,Vyberte pobočku a holiče,Choose branch and barber,Оберіть філію та барбера,,,
serviceDetailNotFound,Service detail,Služba nebyla nalezena.,Service not found.,Послугу не знайдено.,,,
serviceReview,Service detail,Recenze,Review,Відгук,,,
serviceUpdateReview,Service detail,Upravit recenzi,Update review,Редагувати відгук,,,
serviceWriteReview,Service detail,Napsat recenzi,Write review,Написати відгук,,,
servicesBasic,Services,Základní,Basic,Базові,,,
servicesColoring,Services,Barvení,Coloring,Фарбування,,,
servicesExtraEpilaceBadge,Services,OSVOBUZUJÍCÍ,LIBERATING,ВІЛЬНО,,,
servicesExtraEpilaceTitle,Services,Epilace horkým voskem,Hot wax epilation,Епіляція гарячим воском,,,
servicesExtraHomeBadge,Services,NEJPOHODLNĚJŠÍ,MOST COMFORTABLE,ЗРУЧНО,,,
servicesExtraHomeTitle,Services,Služby domů,Home services,Послуги додому,,,
servicesExtraVideoBadge,Services,NA PAMÁTKU,FOR POSTERITY,НА ПАМ'ЯТЬ,,,
servicesExtraVideoTitle,Services,Video na míru,Custom video,Відео на замовлення,,,
servicesHaircuts,Services,Střihy,Haircuts,Укладки,,,
servicesHomeServices,Services,Služby u vás,Home services,Послуги додому,,,
servicesNoItems,Services,Žádné položky,No items,Немає пунктів,,,
servicesPackages,Services,Balíčky,Packages,Пакети,,,
servicesPageHairAndBeard,Services,Vlasy a vousy,Hair and beard,Волосся та борода,,,
servicesPageHaircutBook,Services,Kniha účesů,Haircut book,Книга стрижок,,,
servicesPageHaircutInspiration,Services,Inspirace účesů,Haircut inspiration,Натхнення для стрижки,Katalog účesů,Browse different haircuts,Web Home.seeHaircuts / katalog účesů.
servicesPageSubtitle,Services,Úpravy vlasů a vousů,Hair and beard grooming,Догляд за волоссям і бородою,,,
servicesPageSupplementary,Services,Doplňkové služby,Additional services,Додаткові послуги,,,
servicesPageTitle,Services,Služby,Services,Послуги,,,
settingsAccent,Settings,Barevnost,Accent color,Кольори,,,
settingsAccentDesc,Settings,Barva zvýraznění v aplikaci,Highlight color used across the app,Колір акценту в додатку,,,
settingsChangePassword,Settings,Změnit heslo,Change password,Змінити пароль,,,
settingsChangePasswordDesc,Settings,Změňte své heslo,Change your password,Змініть свій пароль,,,
settingsCommunicationPrefs,Settings,Komunikační preference,Communication preferences,Комунікаційні вподобання,,,
settingsCommunicationPrefsDesc,Settings,Kanály a typy zpráv od aplikace,Channels and message types from the app,Канали та типи повідомлень від додатку,,,
settingsCurrency,Settings,Měna,Currency,Валюта,,,
